"age","value.Polygenic risk score","value.LDL Cholesterol","value.Smoking","value.Age","value.Systolic blood pressure","value.Total cholesterol","value.Body Mass Index","value.Male Sex","value.HDL cholesterol"
18,0.192405367065884,0.000917466452501237,0.0635503154334534,0.0496268618703631,0.0362801840554866,0.000160418377806892,0.0138595670473867,0.0388905763090961,0.00573288928167759
19,0.10032231212361,8.33132588329288e-05,0.0583842991090373,0.0132904954181792,0.0480388316185509,0.00375552958532166,0.0237864340441016,0.0491385437420849,0.0197187565865111
20,0.135048417930729,0.00174822834436472,0.0342053458801221,0.00653524078253365,0.0517687772001013,0.00725519968604105,0.0122085778927259,0.0346909758386105,0.0145261953522851
21,0.0952269486271736,0.000578655964906805,0.0234997335622406,0.0173044647317796,0.0564151515486503,0.00046040464399244,0.0177369355999367,0.0335730476984821,0.00137183201417235
22,0.067083046671523,0.00177931965851841,0.0231446680592495,0.00509922679011932,0.0646120638843282,0.000303501145110796,0.0238532077010972,0.0387221907502013,1.83139718490377e-06
23,0.0592385370844242,0.000162939633753689,0.0197080784439965,0.010064464922487,0.0609947196330014,7.34033637699305e-05,0.0356434749088733,0.0484966972013313,0.00673759992421941
24,0.0555662939613296,0.00127008119468186,0.0268720270651545,0.00934386242370533,0.0606843797705594,0.00296692034970836,0.0334635616586807,0.0432026544843198,0.00517115333293916
25,0.0379733883684892,0.00251654879421359,0.0203817199031741,0.0251180842572708,0.0371204521994818,0.000372732151597721,0.0677405347051541,0.0356677509161487,0.019643672973652
26,0.0183108051082621,0.00333461702202942,0.0137572332045091,0.0338382016653491,0.0240120659543653,0.00161218609190594,0.0420603748164422,0.0372861033673095,0.0123269637245547
27,0.016230342437269,0.0041557163609518,0.0197224418219378,0.0226282179961276,0.0256232169764388,0.00203085756038079,0.0378039115448828,0.0397614082215327,0.0167151149688997
28,0.0328851401268608,0.0088844082012296,0.0169380217788,0.0418977578937796,0.0288950629147832,0.00368783713449494,0.0358216319958078,0.0268833043714962,0.0271823796589581
29,0.0196177439322544,0.00998786895209036,0.0160639883485734,0.03452418689459,0.0225277147683269,0.00487181375610435,0.0283956040641138,0.0229071564600465,0.0202597762216191
30,0.0199287770817208,0.0117151056998755,0.0161775423305538,0.0251951456606164,0.0195635328296357,0.0079963663820255,0.0271756594948522,0.0254199394426562,0.0254426297634761
31,0.0208824454633164,0.0196643890204602,0.0106640151646961,0.0305546313380303,0.0273659399542888,0.0142127974711274,0.0359433470223065,0.0264594264812652,0.035494825495572
