"age","value.Polygenic risk score","low.se.Polygenic risk score","upper.se.Polygenic risk score","value.LDL Cholesterol","low.se.LDL Cholesterol","upper.se.LDL Cholesterol","value.Smoking","low.se.Smoking","upper.se.Smoking","value.Age","low.se.Age","upper.se.Age","value.Systolic blood pressure","low.se.Systolic blood pressure","upper.se.Systolic blood pressure","value.Total cholesterol","low.se.Total cholesterol","upper.se.Total cholesterol","value.Body Mass Index","low.se.Body Mass Index","upper.se.Body Mass Index","value.Male Sex","low.se.Male Sex","upper.se.Male Sex","value.HDL cholesterol","low.se.HDL cholesterol","upper.se.HDL cholesterol"
18,2.52983140059447,0.958844397928635,6.674750281964,0.747130973702093,0.185763895609981,3.00491486804849,3.15019323706695,0.526280957847102,18.8563110310091,1.00652429622142,0.333113480074786,3.04127938219905,1.81184985709424,0.809387888157297,4.05590440959802,0.426389181734502,0.0896437691227673,2.02811345483736,1.25668074710329,0.625166815871188,2.52612016512643,4.65065026863973,0.519335336624033,41.6465940134101,0.451817629022968,0.128931062169628,1.5833203144434
19,3.33877976792433,1.33149585694959,8.37212544111044,0.675386606260099,0.220443525667674,2.06922415405019,1.97765524202337,0.442607611099577,8.83654089586494,0.480184021511862,0.18502447841941,1.24619561954737,1.95055940187773,0.963356668319258,3.94940119830337,0.450899338739608,0.141624111219116,1.43556215058085,1.22227940082418,0.526142890291526,2.83946996385591,3.288249112346,0.637742415365938,16.9544661987708,0.474683656923327,0.160626835680641,1.4027828737042
20,1.86228749456176,0.757729122833065,4.57698484576415,0.797132317753928,0.270925546400731,2.34536735442396,1.49882587208041,0.335016890523274,6.70556935594723,1.85349718889638,0.629429612818445,5.45803972244586,2.18470315852471,1.04613448046362,4.56244199957217,0.828090054594504,0.299548008667423,2.28922616300772,1.55445836756212,0.760291759979636,3.17817572631407,2.77592782028206,0.536808965988879,14.3547812194619,0.931815899222647,0.370503375832468,2.34351675769002
21,1.74965146996723,0.734412284258253,4.16834022520517,0.759914482213715,0.251139764371664,2.29939699801396,1.39787718104237,0.31279913829062,6.24701405495387,0.779594185407381,0.313396535177988,1.93929104409475,2.85203461034334,1.08874901706345,7.47105282403416,1.10297429553177,0.406223543683809,2.99478529868453,1.60571584326354,0.752075521449586,3.42827720856805,2.78524673166204,0.539656698065655,14.3750635988405,1.52075017516942,0.664986909981372,3.47778439028614
22,1.40146098285378,0.696579818522909,2.81962358689391,1.16972750493882,0.593602820637764,2.30501336624434,1.51722204434707,0.42806347844744,5.37762002075436,0.909305056645514,0.427671530680925,1.93334282673584,2.68059467248262,1.1192378603992,6.42007213335267,1.14455105073793,0.571182994407841,2.29348058427999,2.10856502048083,1.14364036009371,3.88762639089704,4.82356500098607,1.02423372182992,22.7162793245753,0.869741210622573,0.398350111822358,1.89895710081425
23,1.54233449400485,0.78013517134851,3.04920964822712,0.828799309930526,0.369030436857278,1.86138656201678,2.84674250482105,0.755020763214791,10.7334040116316,1.40954087474061,0.637609578511762,3.11602200550675,2.43739242364466,1.17608687626463,5.05139709211727,0.699889764583597,0.307076742786955,1.5951897826034,1.96770928332876,1.14499673306658,3.38156407951343,4.19798908221127,1.11367252317254,15.8243217531862,0.663097886931002,0.295942770108389,1.48575620715897
24,1.52840186933965,0.962899450871994,2.42601890787815,1.22773988061324,0.775106258407284,1.94469493453139,1.79259693924921,0.759914818585554,4.22863682614695,1.36462224751007,0.803322367123914,2.3181153103785,1.56853774552676,0.952299524760917,2.58354708279398,0.991413861449766,0.614565940128477,1.5993425285971,2.10568413458573,1.5265769297478,2.90447575110319,3.29170083776144,1.40857714196891,7.6923684777206,0.436997591485822,0.256443388556967,0.74467466694696
25,1.16091278743741,0.780197342930724,1.72740719030539,1.09118978557969,0.758323077684077,1.57016868297063,1.58716372530937,0.801013107389494,3.1448782394431,1.36204124709499,0.877442800594762,2.11427611866048,1.26302205702156,0.821716307014973,1.94133267516364,1.03014857849075,0.705489099140448,1.50421331110498,1.50781531887486,1.17688689394931,1.93179739490889,2.77817945745806,1.36064931158962,5.67249844034012,0.689759688238262,0.46447181863759,1.02432140859286
26,1.12815679279536,0.791748259516868,1.60750305899878,1.20921883615978,0.885886602260594,1.65056135852191,1.77983913098209,0.920226303118499,3.44244380044323,0.772398816144344,0.522901276300396,1.14094181487224,1.29790432155859,0.87929046621285,1.9158124563501,1.15856786698344,0.833545311607595,1.61032577799257,1.45175464545402,1.14909475573961,1.83413207663696,2.96914473211187,1.47779035084573,5.96554202372646,0.6373737449325,0.443983426907483,0.915001025058381
27,1.50394499212474,1.13466482982398,1.99340852019531,1.24072237756091,0.949631805082383,1.62104092337856,1.91241403986384,1.10105931349848,3.32164436105413,1.28974996668618,0.918085775569716,1.8118731613446,1.47828546807504,1.06640920066783,2.04923956371842,1.14772620132436,0.855572785698442,1.5396415772284,1.24976943642488,1.00891891951212,1.54811612114188,2.1377067271176,1.21908598133588,3.74853793836285,0.616598005282049,0.451620987780804,0.84184108003043
